"","營業地址","統一編號","總機構統一編號","營業人名稱","資本額","使用統一發票","行業代號","名稱","行業代號2","名稱2","行業代號3","名稱3","行業代號4","名稱4","日期","縣市","年份"
"11","臺南市安南區安西里安和路１段３１３號１樓",47754887,NA,"林揚智",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-01-29,"臺南市","2016"
"12","臺南市白河區白河里中山路２４８號",47846541,NA,"億伍禮品屋",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-10-19,"臺南市","2016"
"13","臺南市永康區網寮里文化路３４６號１樓",47746655,NA,"林揚智",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-01-26,"臺南市","2016"
"14","臺南市永康區塩行里中正六街１７３號",47873808,NA,"吳峻銘",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-06,"臺南市","2016"
"15","臺南市永康區復國里復華六街４１號１樓",47787022,NA,"永久精品商行",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-30,"臺南市","2016"
"16","臺南市永康區勝利里勝利街９２號１樓",40887139,NA,"永勝利商行",10000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-01-19,"臺南市","2016"
"17","臺南市永康區崑山里大灣路８６１號１樓",47796900,NA,"愛夾客商店",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-28,"臺南市","2016"
"18","臺南市永康區埔園里龍埔街３７６號",47835397,NA,"蔡美玲",40000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-07-26,"臺南市","2016"
"19","臺南市北區公園里西華街１０９號",47776051,NA,"尚好夾選物販賣機",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-05-27,"臺南市","2016"
"20","臺南市北區大興街２號之６",47766194,NA,"黃距融",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-03-17,"臺南市","2016"
"21","臺南市北區大仁里北門路２段３１８號１樓",47776691,NA,"蘇淑貞",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-06-01,"臺南市","2016"
"22","臺南市中西區友愛街２６６號１樓",47875307,NA,"尚好夾選物販賣機",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-14,"臺南市","2016"
"23","臺東縣臺東市豐年里中興路３段５９２號（大潤發Ｂ１）",47837331,NA,"敏泰企業社",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-09,"臺東縣","2016"
"24","臺東縣卑南鄉溫泉村龍泉路４２號",47849836,NA,"溫泉便利商店",3000,"N",932414,"夾娃娃機店",472999,"未分類其他食品、飲料及菸草製品零售",NA,NA,NA,NA,2016-11-10,"臺東縣","2016"
"25","臺北市萬華區榮德里萬大路４８６巷４８號東興市場",42343302,NA,"東興抓抓族商行",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-03-08,"臺北市","2016"
"26","臺北市萬華區新起里昆明街１９４號",42417900,NA,"元鑫娛樂行",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-11-08,"臺北市","2016"
"27","臺北市萬華區華中里萬大路４８６巷２９號１樓",42350324,NA,"許大董商店",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-29,"臺北市","2016"
"28","臺北市萬華區富民里西昌街１７８號",42361624,NA,"大帝遊樂園",80000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-02,"臺北市","2016"
"29","臺北市萬華區青山里廣州街１６６號１樓",42358466,NA,"騎士企業社",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-07-06,"臺北市","2016"
"30","臺北市信義區惠安里吳興街３４２號１樓",42346764,NA,"吳興抓抓族商行",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-06,"臺北市","2016"
"31","臺北市信義區松光里松山路５４１巷２０號",42345929,NA,"群楊商行",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-03-29,"臺北市","2016"
"32","臺北市信義區松光里松山路５４１巷１０號",42359388,NA,"傳奇商行",200000,"N",932414,"夾娃娃機店",932411,"電動玩具店",NA,NA,NA,NA,2016-07-15,"臺北市","2016"
"33","臺北市信義區四育里虎林街５５巷３號１樓",42462670,NA,"陳嘉榮",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-11-28,"臺北市","2016"
"34","臺北市文山區興旺里福興路３７號",42363854,NA,"福興選物販賣店",80000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-18,"臺北市","2016"
"35","臺北市文山區興安里興隆路二段９４―３號１樓",42341509,NA,"飛龍娃娃商店",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-02-23,"臺北市","2016"
"36","臺北市文山區順興里興隆路四段２０７號",42362481,NA,"哈姆熊企業社",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-08,"臺北市","2016"
"37","臺北市中正區頂東里金門街９―９號",42421685,NA,"實鑽商行",60000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-12,"臺北市","2016"
"38","臺北市中山區恆安里農安街２巷１８號",42349452,NA,"正鑫娛樂行",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-25,"臺北市","2016"
"39","臺北市中山區中央里四平街７１號",42349431,NA,"鈞翔企業社",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-25,"臺北市","2016"
"40","臺北市中山區大直里大直街６３號",42349988,NA,"瑞翔企業社",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-28,"臺北市","2016"
"41","臺北市大安區龍圖里信義路三段１８０號地下一層（信義線大安捷運站）",42467648,42349988,"瑞翔企業社大安營業所",0,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-26,"臺北市","2016"
"42","臺北市大同區國慶里延平北路三段１１７號",42340473,NA,"八通資訊網站",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-02-05,"臺北市","2016"
"43","臺北市大同區星明里民生西路２１２號",42361693,NA,"民生抓抓族商行",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-03,"臺北市","2016"
"44","臺北市士林區天福里天母東路８巷２３號１樓之６",42409514,NA,"泓元商行",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-30,"臺北市","2016"
"45","臺中市霧峰區本堂里中正路７６７―１３號１樓",47500961,NA,"福樂商行",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-12,"臺中市","2016"
"46","臺中市豐原區陽明里府前街４３．４５號",47528460,NA,"寶貝熊娃娃機店",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-02-15,"臺中市","2016"
"47","臺中市豐原區北陽里南陽路２５０號１樓",47478715,NA,"夾達人商行",60000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-14,"臺中市","2016"
"48","臺中市豐原區中山里信義街８０號",47612207,NA,"蕭文凱",85000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-12,"臺中市","2016"
"49","臺中市龍井區新東里臺灣大道五段３巷６２弄３２號１樓",47499514,NA,"正藍夾夾樂商行",20000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-01,"臺中市","2016"
"50","臺中市潭子區潭陽里圓通南路１９８號１樓",47477912,NA,"儷寶娛樂企業社",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-20,"臺中市","2016"
"51","臺中市潭子區潭秀里中山路２段３６６號１樓",47535574,NA,"夾娃樂自動選物販賣行",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-03-14,"臺中市","2016"
"52","臺中市潭子區福仁里福潭路２５８號１樓",47498748,NA,"津讚商行",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-30,"臺中市","2016"
"53","臺中市潭子區福仁里大新路１０２號１樓",47494790,NA,"佶利商行",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-02,"臺中市","2016"
"54","臺中市潭子區栗林里中山路３段３１６號１樓",47494530,NA,"小幸運禮品社",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-02,"臺中市","2016"
"55","臺中市潭子區家興里榮興街５７巷２號１樓",47498016,NA,"榮創商行",10000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-23,"臺中市","2016"
"56","臺中市潭子區大豐里大豐路３段１１３號１樓",47613206,NA,"放輕鬆娃娃城商店",300000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-10-24,"臺中市","2016"
"57","臺中市清水區橋頭里高美路２１７號１樓",47504360,NA,"八十二區娃娃屋",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-10-14,"臺中市","2016"
"58","臺中市清水區橋頭里民有路１５７巷２６弄１６號１樓",45146304,NA,"東陽玩具有限公司",200000,"Y",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-02,"臺中市","2016"
"59","臺中市清水區南寧里光華路２０３號",47472233,NA,"鼎錡禮品社",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-03-04,"臺中市","2016"
"60","臺中市清水區文昌里文昌街４１號１樓",47501286,NA,"龍王家族精品店",80000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-20,"臺中市","2016"
"61","臺中市梧棲區文化里中和街２２號１樓",47514472,NA,"熊好夾娃娃屋",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-22,"臺中市","2016"
"62","臺中市神岡區豐洲里豐洲路４５７號１樓",47484603,NA,"幸運星禮品店",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-05-23,"臺中市","2016"
"63","臺中市神岡區豐洲里豐洲路１３８號",47586664,NA,"ＧＳ禮品社",120000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-23,"臺中市","2016"
"64","臺中市神岡區豐洲里五權路６３－１號",47149550,NA,"熱帶魚禮品社",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-01-12,"臺中市","2016"
"65","臺中市神岡區神岡里中山路１３６３―３號門前",47586637,NA,"鄭安助",80000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-31,"臺中市","2016"
"66","臺中市神岡區社口里中山路７１６號",47480487,NA,"時代綜藝商行",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-25,"臺中市","2016"
"67","臺中市烏日區榮泉里三榮路２段３６０號",47573984,NA,"黄浚賢",20000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-07-14,"臺中市","2016"
"68","臺中市烏日區九德里中山路１段２０８號",47617673,NA,"陳雅娟",88000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-11-01,"臺中市","2016"
"69","臺中市南區德義里學府路２８－１號",47596585,NA,"劉聖威",400000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-22,"臺中市","2016"
"70","臺中市南區福順里忠明南路８１９號",47484174,NA,"昱承娃娃屋",60000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-05-19,"臺中市","2016"
"71","臺中市南區新榮里學府路１６５號１樓",47514521,NA,"學創商行",10000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-22,"臺中市","2016"
"72","臺中市南區城隍里忠孝路１４０號",47618271,NA,"金屋娃娃城",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-11-24,"臺中市","2016"
"73","臺中市南區西川里美村路２段３２號１樓",47582409,NA,"范揚政",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-19,"臺中市","2016"
"74","臺中市東勢區東安里中山路７５號前",47569623,NA,"林明煌選物販賣機",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-04-06,"臺中市","2016"
"75","臺中市沙鹿區鹿寮里光華路３１９號",47619193,NA,"蕭文凱",90000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-11-09,"臺中市","2016"
"76","臺中市沙鹿區南勢里鎮南路２段７９號１樓",47508302,NA,"瘋夾客商行",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-04,"臺中市","2016"
"77","臺中市西屯區逢福里慶和街５號１樓",47506281,NA,"仁心商行",5000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-10-26,"臺中市","2016"
"78","臺中市西屯區逢福里文華路１２―１號",47471115,NA,"柏宏企業社",50000,"N",487911,"以自動販賣機零售商品",932414,"夾娃娃機店",NA,NA,NA,NA,2016-02-25,"臺中市","2016"
"79","臺中市西屯區逢甲里文華路５巷５號１樓",47587740,NA,"魔力夾客商行",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-09,"臺中市","2016"
"80","臺中市后里區后里里甲后路１段５２５號",47561729,NA,"ＧＳ禮品社",150000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-05-04,"臺中市","2016"
"81","臺中市北屯區陳平里陳平路２８號騎樓",47562430,NA,"楊信忠",10000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-05-23,"臺中市","2016"
"82","臺中市北屯區同榮里同榮路２１８號１樓",47147814,NA,"冠竤商行",80000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-01-07,"臺中市","2016"
"83","臺中市北屯區平興里遼寧路１段１２０號旁",47563830,NA,"陳信良",20000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-05-01,"臺中市","2016"
"84","臺中市北屯區平德里綏遠路二段１３４號",47562109,NA,"趙以文",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-05-17,"臺中市","2016"
"85","臺中市北屯區四民里后庄路７１―３號",47584997,NA,"芃利商行",80000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-26,"臺中市","2016"
"86","臺中市北屯區北京里太原路三段３４２號",47569829,NA,"黄建瑋",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-06-24,"臺中市","2016"
"87","臺中市北區錦祥里梅亭東街４１號",72433420,NA,"鄭炘晉",10000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-03-01,"臺中市","2016"
"88","臺中市北區新北里育才街６巷３號１樓及地下室",47493223,NA,"一中娃娃屋商行",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-07-21,"臺中市","2016"
"89","臺中市北區新北里一中街１５８號１樓",47488636,NA,"信翔企業社",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-06-21,"臺中市","2016"
"90","臺中市太平區豐年里大源路１２號１樓",47587827,NA,"大創商行",5000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-09,"臺中市","2016"
"91","臺中市太平區新城里樹孝路１０５號１樓",47502406,NA,"魔幻夾客商行",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-26,"臺中市","2016"
"92","臺中市太平區長億里長億路２１―１號",47578502,NA,"大勝商行",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-03-01,"臺中市","2016"
"93","臺中市太平區成功里東平路３７１號騎樓",72311854,NA,"曾志光",5000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-01,"臺中市","2016"
"94","臺中市太平區光隆里光興路７０５―１號１樓",72364438,NA,"陳信良",20000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-11-24,"臺中市","2016"
"95","臺中市太平區中平里中平九街１１５號１樓",47474719,NA,"綜藝商行",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-03-21,"臺中市","2016"
"96","臺中市中區中華里民族路２３５號",47533978,NA,"挖寶趣實業社",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-03-15,"臺中市","2016"
"97","臺中市中區中華里中華路一段８５號",47561571,NA,"挖寶趣實業社",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-05-17,"臺中市","2016"
"98","臺中市中區大誠里大誠街８３―３號１樓",47587523,NA,"管鈞壕",10000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-01,"臺中市","2016"
"99","臺中市大雅區四德里學府路１０９―１１號",47614248,NA,"楊信忠",12000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-10-28,"臺中市","2016"
"100","臺中市大雅區四德里學府路１０９－１１號旁",47594361,NA,"洪豐洲",8000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-09,"臺中市","2016"
"101","臺中市大雅區大雅里學府路３２３號１樓",47499211,NA,"雅創商行",10000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-31,"臺中市","2016"
"102","臺中市大雅區大雅里中清東路１５８號",47582196,NA,"許雅惠",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-19,"臺中市","2016"
"103","臺中市大雅區三和里雅潭路４段５８號",47594046,NA,"鄭建良",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-19,"臺中市","2016"
"104","臺中市大雅區二和里雅環路１段３３１號",47582962,NA,"劉洽中",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-07-10,"臺中市","2016"
"105","臺中市大里區金城里中興路一段３３４號１樓",47519650,NA,"麻辣女王飲食館",20000,"N",561113,"麵店、小吃店",932414,"夾娃娃機店",NA,NA,NA,NA,2016-01-01,"臺中市","2016"
"106","臺中市大里區內新里內新街５０號１樓",47570939,NA,"莊淑珠",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-06-30,"臺中市","2016"
"107","臺中市大里區仁化里仁化路５１８號",47561517,NA,"鄭安助",150000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-05-18,"臺中市","2016"
"108","臺中市大里區仁化里工業四路１６號１樓",47612157,NA,"張世傑",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-10-31,"臺中市","2016"
"109","臺中市大里區仁化里工業二路９０號１樓",47616463,NA,"小小兵娃娃",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-11-11,"臺中市","2016"
"110","臺中市大里區中新里中興路２段１６２號１樓",47617596,NA,"莊淑珠",30000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-11-21,"臺中市","2016"
"111","臺中市大里區大明里大明路１７６號１樓",47483132,NA,"蓮安科技企業社",200000,"Y",932414,"夾娃娃機店",464214,"手機及手機週邊零配件批發",487113,"經營網路購物",NA,NA,2016-05-12,"臺中市","2016"
"112","臺中市大甲區順天里蔣公路１３３之４號１樓",47506228,NA,"歡樂滿滿商行",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-10-25,"臺中市","2016"
"113","彰化縣彰化市興北里三民路１４４號１樓",47566549,NA,"賴再興",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-05-30,"彰化縣","2016"
"114","彰化縣彰化市新興里彰新路一段７２號",47580269,NA,"謝正達",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-10,"彰化縣","2016"
"115","彰化縣彰化市陽明里００９鄰中正路一段７０號",47575414,NA,"黄浚賢",20000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-07-21,"彰化縣","2016"
"116","彰化縣彰化市阿夷里泰和路二段臨１９９號",47577659,NA,"卓東立",5000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-01,"彰化縣","2016"
"117","彰化縣彰化市向陽里崙平南路３４１號１樓前",47579930,NA,"林明煌",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-01,"彰化縣","2016"
"118","彰化縣彰化市永生里０１４鄰永樂街９３號",47578989,NA,"謝正達",7000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-01,"彰化縣","2016"
"119","彰化縣彰化市大同里民生路８１號",47550053,NA,"眾樂樂商店",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-23,"彰化縣","2016"
"120","彰化縣彰化市三民路５號",47612092,NA,"洪豐洲",8000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-25,"彰化縣","2016"
"121","彰化縣溪湖鎮平和里員鹿路３段３６號",47581197,NA,"洪豐洲",8000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-12,"彰化縣","2016"
"122","彰化縣鹿港鎮溝墘里鹿和路三段５７５號最右邊第一間鐵皮屋",72310074,NA,"謝陳秀良",100000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-11-28,"彰化縣","2016"
"123","彰化縣員林市新生里靜修路７７－１號",47581181,NA,"謝承志",8000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-12,"彰化縣","2016"
"124","彰化縣員林市惠來里南昌路５１號",47594904,NA,"黃彥凱",10000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-20,"彰化縣","2016"
"125","彰化縣員林市三信里育英路５２７號",47581838,NA,"洪豐洲",8000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-15,"彰化縣","2016"
"126","彰化縣芳苑鄉博愛村芳漢路王功段６１５號１樓",47593948,NA,"黃弘鈞",20000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-31,"彰化縣","2016"
"127","彰化縣花壇鄉花壇村中正路３６４號",47549824,NA,"百佑商行",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-20,"彰化縣","2016"
"128","彰化縣花壇鄉三春村彰員路一段４５５巷４１號前",47580578,NA,"房耀忠",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-05,"彰化縣","2016"
"129","彰化縣社頭鄉社頭村清水岩路４１１號",47584785,NA,"謝國彬",1000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-23,"彰化縣","2016"
"130","彰化縣社頭鄉社頭村員集路二段３１７號",47594524,NA,"洪豐洲",8000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-28,"彰化縣","2016"
"131","彰化縣秀水鄉福安村三民街３１號",47581794,NA,"張文炳",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-18,"彰化縣","2016"
"132","彰化縣伸港鄉新港路３０８號旁",47581555,NA,"陳信良",20000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-08-17,"彰化縣","2016"
"133","彰化縣伸港鄉七嘉村中華路５３２號１樓",47374628,NA,"六十八區娃娃屋",200000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-01-25,"彰化縣","2016"
"134","彰化縣田尾鄉田尾村民族路１段１４３－２號",47529691,NA,"楊雅琹",100000,"N",932414,"夾娃娃機店",932413,"投幣式兒童騎乘機械玩具店",932411,"電動玩具店",NA,NA,2016-02-05,"彰化縣","2016"
"135","彰化縣北斗鎮居仁里０１４鄰宮後街１４號１樓",47610720,NA,"王重凱",400000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-10-24,"彰化縣","2016"
"136","彰化縣北斗鎮大新里中州路２段５１２號",47595214,NA,"簡嘉琦",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-09-15,"彰化縣","2016"
"137","彰化縣北斗鎮大新里００９鄰斗中路３３號騎樓",72363297,NA,"謝汶憲",3000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-17,"彰化縣","2016"
"138","彰化縣二林鎮豐田里斗苑路四段７１４號",47574549,NA,"許福全",10000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-07-05,"彰化縣","2016"
"139","彰化縣二林鎮東和里斗苑路五段１１３－２號１樓",47546170,NA,"翔羽商行",10000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-10-05,"彰化縣","2016"
"140","嘉義縣新港鄉宮前村０２０鄰中山路１３８號",47755176,NA,"金瑪琍商行",50000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-02-01,"嘉義縣","2016"
"141","嘉義縣民雄鄉中樂村民權路３－２７號",47876397,NA,"許福全",85000,"N",932414,"夾娃娃機店",NA,NA,NA,NA,NA,NA,2016-12-06,"嘉義縣","2016"
"142","嘉義市西區劉厝里大富路２９０號１樓",47842279,NA,"劉厝商行",3000,"N",932413,"投幣式兒童騎乘機械玩具店",932414,"夾娃娃機店",NA,NA,NA,NA,2016-09-12,"嘉義市","2016"
